id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5395172/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-10-28T10:15:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,7.82,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5395558/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-11-07T11:33:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,7.69,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5397529/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-12-09T11:04:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.08,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5377183/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-01-20T09:47:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.74,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5378867/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-02-04T10:45:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.91,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5380886/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-03-10T08:53:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.64,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5395337/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-11-03T12:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.38,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5395874/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-11-17T10:50:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.52,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5397377/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-12-04T11:55:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.53,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004074/sample/5398002/observation/0061,NW-88004074,RIVER CONDER AT CONDER GREEN,345962,455741,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-12-16T10:10:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.69,PH UNITS
